#   thread_num  ParMBE  ParAdaMBEFinder
4  0.026669  0.252311 
8  0.015768  0.135884 
16  0.009654  0.0873845 
32  0.006671  0.0615364 
64  0.008365  0.0611385 
96  0.007894  0.0896353 
